time_sec;time_min;FHR_bpm
583.0;9.717;149.7
584.0;9.733;149.3
585.0;9.75;148.9
586.0;9.767;148.6
587.0;9.783;148.4
588.0;9.8;148.3
589.0;9.817;148.4
590.0;9.833;148.6
591.0;9.85;148.8
592.0;9.867;149.0
593.0;9.883;149.3
594.0;9.9;149.5
595.0;9.917;149.7
596.0;9.933;149.8
597.0;9.95;149.8
598.0;9.967;149.8
599.0;9.983;149.8
600.0;10.0;149.9
601.0;10.017;150.1
602.0;10.033;150.2
603.0;10.05;150.5
604.0;10.067;150.8
605.0;10.083;151.1
606.0;10.1;151.4
607.0;10.117;151.7
608.0;10.133;151.9
609.0;10.15;152.0
610.0;10.167;152.0
611.0;10.183;152.0
612.0;10.2;151.9
613.0;10.217;151.8
614.0;10.233;151.8
615.0;10.25;151.7
616.0;10.267;151.5
617.0;10.283;151.3
618.0;10.3;151.2
619.0;10.317;151.1
620.0;10.333;151.0
621.0;10.35;150.9
622.0;10.367;150.8
623.0;10.383;151.0
624.0;10.4;151.1
625.0;10.417;151.2
626.0;10.433;151.2
627.0;10.45;151.2
628.0;10.467;151.2
629.0;10.483;151.2
630.0;10.5;151.2
631.0;10.517;151.3
632.0;10.533;151.4
633.0;10.55;151.3
634.0;10.567;151.2
635.0;10.583;151.2
636.0;10.6;151.3
637.0;10.617;151.4
638.0;10.633;151.5
639.0;10.65;151.6
640.0;10.667;151.6
641.0;10.683;151.6
642.0;10.7;151.6
643.0;10.717;151.7
644.0;10.733;151.6
645.0;10.75;151.6
646.0;10.767;151.6
647.0;10.783;151.4
648.0;10.8;151.1
649.0;10.817;150.8
650.0;10.833;150.5
651.0;10.85;150.2
652.0;10.867;149.9
653.0;10.883;149.6
654.0;10.9;149.1
655.0;10.917;148.4
656.0;10.933;147.9
657.0;10.95;147.7
658.0;10.967;147.8
659.0;10.983;147.9
660.0;11.0;148.1
661.0;11.017;148.1
662.0;11.033;148.2
663.0;11.05;148.3
664.0;11.067;148.7
665.0;11.083;149.1
666.0;11.1;149.6
667.0;11.117;149.8
668.0;11.133;149.7
669.0;11.15;149.7
670.0;11.167;149.6
671.0;11.183;149.4
672.0;11.2;149.1
673.0;11.217;148.8
674.0;11.233;148.8
675.0;11.25;148.7
676.0;11.267;148.5
677.0;11.283;148.4
678.0;11.3;148.5
679.0;11.317;148.6
680.0;11.333;148.9
681.0;11.35;149.2
682.0;11.367;149.7
683.0;11.383;150.0
684.0;11.4;150.3
685.0;11.417;150.6
686.0;11.433;150.8
687.0;11.45;150.9
688.0;11.467;150.9
689.0;11.483;151.0
690.0;11.5;150.9
691.0;11.517;150.9
692.0;11.533;150.7
693.0;11.55;150.4
694.0;11.567;149.9
695.0;11.583;149.3
696.0;11.6;148.9
697.0;11.617;148.4
698.0;11.633;148.0
699.0;11.65;147.6
700.0;11.667;147.3
701.0;11.683;146.9
702.0;11.7;146.7
703.0;11.717;146.5
704.0;11.733;146.4
705.0;11.75;146.3
706.0;11.767;146.2
707.0;11.783;145.9
708.0;11.8;145.5
709.0;11.817;145.1
710.0;11.833;144.7
711.0;11.85;144.2
712.0;11.867;143.9
713.0;11.883;143.7
714.0;11.9;143.6
715.0;11.917;143.8
716.0;11.933;144.0
717.0;11.95;144.3
718.0;11.967;144.8
719.0;11.983;145.3
720.0;12.0;145.7
721.0;12.017;146.0
722.0;12.033;146.0
723.0;12.05;145.7
724.0;12.067;145.3
725.0;12.083;144.9
726.0;12.1;144.7
727.0;12.117;144.5
728.0;12.133;144.3
729.0;12.15;144.4
730.0;12.167;144.5
731.0;12.183;144.9
732.0;12.2;145.4
733.0;12.217;146.2
734.0;12.233;147.1
735.0;12.25;147.7
736.0;12.267;147.8
737.0;12.283;148.0
738.0;12.3;148.1
739.0;12.317;148.2
740.0;12.333;148.4
741.0;12.35;148.6
742.0;12.367;148.8
743.0;12.383;148.8
744.0;12.4;148.9
745.0;12.417;149.0
746.0;12.433;149.1
747.0;12.45;149.1
748.0;12.467;149.1
749.0;12.483;149.1
750.0;12.5;148.9
751.0;12.517;148.7
752.0;12.533;148.4
753.0;12.55;148.1
754.0;12.567;147.9
755.0;12.583;147.8
756.0;12.6;147.9
757.0;12.617;148.0
758.0;12.633;148.0
759.0;12.65;147.9
760.0;12.667;147.8
761.0;12.683;147.7
762.0;12.7;147.8
763.0;12.717;147.8
764.0;12.733;147.6
765.0;12.75;147.3
766.0;12.767;146.8
767.0;12.783;146.4
768.0;12.8;146.0
769.0;12.817;145.7
770.0;12.833;145.4
771.0;12.85;145.3
772.0;12.867;145.2
773.0;12.883;145.2
774.0;12.9;145.3
775.0;12.917;145.6
776.0;12.933;145.9
777.0;12.95;146.2
778.0;12.967;146.6
779.0;12.983;147.0
780.0;13.0;147.3
781.0;13.017;147.7
782.0;13.033;148.1
783.0;13.05;148.5
784.0;13.067;148.8
785.0;13.083;149.0
786.0;13.1;149.2
787.0;13.117;149.4
788.0;13.133;149.4
789.0;13.15;149.3
790.0;13.167;149.1
791.0;13.183;148.5
792.0;13.2;147.8
793.0;13.217;147.4
794.0;13.233;147.1
795.0;13.25;146.7
796.0;13.267;146.1
797.0;13.283;145.6
798.0;13.3;145.1
799.0;13.317;144.9
800.0;13.333;144.8
801.0;13.35;144.9
802.0;13.367;144.8
803.0;13.383;144.5
804.0;13.4;144.2
805.0;13.417;144.0
806.0;13.433;143.9
807.0;13.45;143.9
808.0;13.467;143.7
809.0;13.483;143.4
810.0;13.5;143.2
811.0;13.517;142.8
812.0;13.533;142.5
813.0;13.55;142.1
814.0;13.567;141.8
815.0;13.583;141.5
816.0;13.6;141.3
817.0;13.617;141.3
818.0;13.633;141.2
819.0;13.65;141.1
820.0;13.667;141.0
821.0;13.683;140.8
822.0;13.7;140.7
823.0;13.717;140.5
824.0;13.733;140.4
825.0;13.75;140.4
826.0;13.767;140.5
827.0;13.783;140.6
828.0;13.8;141.0
829.0;13.817;141.5
830.0;13.833;141.9
831.0;13.85;142.5
832.0;13.867;143.1
