time_sec;time_min;Toco_value
797.0;13.283;42.9
798.0;13.3;43.4
799.0;13.317;44.5
800.0;13.333;47.1
801.0;13.35;49.2
802.0;13.367;50.3
803.0;13.383;51.6
804.0;13.4;54.0
805.0;13.417;57.7
806.0;13.433;58.1
807.0;13.45;55.5
808.0;13.467;57.9
809.0;13.483;58.9
810.0;13.5;59.5
811.0;13.517;59.8
812.0;13.533;54.0
813.0;13.55;54.5
814.0;13.567;55.5
815.0;13.583;55.5
816.0;13.6;57.1
817.0;13.617;58.8
818.0;13.633;58.7
819.0;13.65;58.5
820.0;13.667;57.5
821.0;13.683;54.0
822.0;13.7;55.9
823.0;13.717;56.0
824.0;13.733;56.0
825.0;13.75;51.7
826.0;13.767;45.4
827.0;13.783;44.7
828.0;13.8;44.8
829.0;13.817;44.8
830.0;13.833;43.8
831.0;13.85;42.6
832.0;13.867;39.9
833.0;13.883;35.9
834.0;13.9;35.6
835.0;13.917;41.9
836.0;13.933;44.5
837.0;13.95;38.1
838.0;13.967;31.7
839.0;13.983;25.3
840.0;14.0;24.0
841.0;14.017;27.5
842.0;14.033;31.3
843.0;14.05;33.2
844.0;14.067;30.3
845.0;14.083;27.0
846.0;14.1;30.1
847.0;14.117;36.6
848.0;14.133;39.4
849.0;14.15;41.6
850.0;14.167;39.7
851.0;14.183;33.4
852.0;14.2;27.1
853.0;14.217;22.7
854.0;14.233;19.5
855.0;14.25;16.7
856.0;14.267;10.2
857.0;14.283;4.9
858.0;14.3;2.3
859.0;14.317;1.2
860.0;14.333;1.2
861.0;14.35;1.2
862.0;14.367;1.2
863.0;14.383;1.2
864.0;14.4;1.3
865.0;14.417;1.3
866.0;14.433;1.3
867.0;14.45;1.3
868.0;14.467;1.3
869.0;14.483;1.4
870.0;14.5;1.5
871.0;14.517;1.6
872.0;14.533;1.6
873.0;14.55;3.0
874.0;14.567;4.1
875.0;14.583;4.5
876.0;14.6;5.0
